pays;date;value
GBR;2020-10;0.3058
GBR;2020-11;0.3836
GBR;2020-12;0.3224
GBR;2021-01;0.3672
GBR;2021-02;0.6222
GBR;2021-03;0.8456
GBR;2021-04;0.8515
GBR;2021-05;0.9058
GBR;2021-06;0.8549
GBR;2021-07;0.6979
GBR;2021-08;0.644
GBR;2021-09;0.8023
GBR;2021-10;1.083
GBR;2021-11;0.9394
GBR;2021-12;0.84
KOR;2019-10;1.577
KOR;2019-11;1.75
KOR;2019-12;1.653
KOR;2020-01;1.656
KOR;2020-02;1.54
KOR;2020-03;1.485
KOR;2020-04;1.504
KOR;2020-05;1.394
KOR;2020-06;1.392
KOR;2020-07;1.36
KOR;2020-08;1.373
KOR;2020-09;1.5
KOR;2020-10;1.507
KOR;2020-11;1.61
KOR;2020-12;1.675
KOR;2021-01;1.731
KOR;2021-02;1.845
KOR;2021-03;2.04
KOR;2021-04;2.041
KOR;2021-05;2.131
KOR;2021-06;2.103
KOR;2021-07;1.976
KOR;2021-08;1.905
KOR;2021-09;2.061
KOR;2021-10;2.399
KOR;2021-11;2.355
KOR;2021-12;2.187
JPN;2019-10;-0.15
JPN;2019-11;-0.08
JPN;2019-12;-0.025
JPN;2020-01;-0.065
JPN;2020-02;-0.155
JPN;2020-03;0.005
JPN;2020-04;-0.04
JPN;2020-05;0
JPN;2020-06;0.03
JPN;2020-07;0.01
JPN;2020-08;0.045
JPN;2020-09;0.015
JPN;2020-10;0.04
JPN;2020-11;0.03
JPN;2020-12;0.02
JPN;2021-01;0.055
JPN;2021-02;0.15
JPN;2021-03;0.12
JPN;2021-04;0.09
JPN;2021-05;0.08
JPN;2021-06;0.05
JPN;2021-07;0.015
JPN;2021-08;0.02
JPN;2021-09;0.065
JPN;2021-10;0.095
JPN;2021-11;0.05
JPN;2021-12;0.07
IND;2019-10;6.54
IND;2019-11;6.64
IND;2019-12;6.85
IND;2020-01;6.82
IND;2020-02;6.66
IND;2020-03;6.37
IND;2020-04;6.68
IND;2020-05;5.92
IND;2020-06;5.86
IND;2020-07;5.81
IND;2020-08;6.01
IND;2020-09;6.03
IND;2020-10;5.95
IND;2020-11;5.89
IND;2020-12;5.89
IND;2021-01;5.94
IND;2021-02;6.2
IND;2021-03;6.35
IND;2021-04;6.28
IND;2021-05;6.23
IND;2021-06;6.27
IND;2021-07;6.21
IND;2021-08;6.28
IND;2021-09;6.19
IND;2021-10;6.36
IND;2021-11;5.8
